gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
CTPS2	RHEA:26426	L-glutamate	CHEBI:29985	CTPS2_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SMYD2	RHEA:60260	S-adenosyl-L-homocysteine	CHEBI:57856	SMYD2_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SMYD2	RHEA:51736	S-adenosyl-L-homocysteine	CHEBI:57856	SMYD2_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC2A9	RHEA:60368	urate	CHEBI:17775	SLC2A9_CHEBI:17775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AASDHPPT	RHEA:12068	adenosine 3',5'-bisphosphate	CHEBI:58343	AASDHPPT_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AASDHPPT	RHEA:46564	adenosine 3',5'-bisphosphate	CHEBI:58343	AASDHPPT_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
METTL5	RHEA:62612	S-adenosyl-L-homocysteine	CHEBI:57856	METTL5_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
C1GALT1	RHEA:15621	UDP-alpha-D-galactose	CHEBI:66914	C1GALT1_CHEBI:66914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC6A13	RHEA:70687	4-aminobutanoate	CHEBI:59888	SLC6A13_CHEBI:59888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC6A13	RHEA:71223	taurine	CHEBI:507393	SLC6A13_CHEBI:507393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC6A13	RHEA:71243	hypotaurine	CHEBI:57853	SLC6A13_CHEBI:57853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FARSB	RHEA:19413	L-phenylalanine	CHEBI:58095	FARSB_CHEBI:58095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
FARSB	RHEA:19413	AMP	CHEBI:456215	FARSB_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
IARS2	RHEA:11060	L-isoleucine	CHEBI:58045	IARS2_CHEBI:58045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
IARS2	RHEA:11060	AMP	CHEBI:456215	IARS2_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PNPLA3	RHEA:12044	a fatty acid	CHEBI:28868	PNPLA3_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PNPLA3	RHEA:38387	(9Z)-octadecenoate	CHEBI:30823	PNPLA3_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PNPLA3	RHEA:15801	a fatty acid	CHEBI:28868	PNPLA3_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT3	RHEA:43636	NAD(+)	CHEBI:57540	SIRT3_CHEBI:57540	sp|Q8R104|SIR3_MOUSE	SIRT3	protein	NAD	metabolite	0.287936339065465	1.9371004905055e-4	163	0.0147373810837699	SIRT3_NAD	NAD(1−)	CHEBI:57540	primary	20	CHEBI:57540	20	NAD(1-)	SIRT3_NAD_CHEBI:57540	Rhea
SIRT3	RHEA:43636	nicotinamide	CHEBI:17154	SIRT3_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC35D1	RHEA:73703	UDP-alpha-D-glucuronate	CHEBI:58052	SLC35D1_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC35D1	RHEA:74835	UDP-alpha-D-glucuronate	CHEBI:58052	SLC35D1_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC35D1	RHEA:72727	UDP-alpha-D-glucuronate	CHEBI:58052	SLC35D1_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
